date,python,java,javascript,visual basic,isPartial
2018-10-01,83,45,7,0,False
2018-11-01,96,56,9,0,False
2018-12-01,97,56,8,0,False
2019-01-01,93,55,9,0,False
2019-02-01,77,39,7,0,False
2019-03-01,93,56,8,0,False
2019-04-01,95,57,9,0,False
2019-05-01,87,44,8,0,False
2019-06-01,91,49,7,0,False
2019-07-01,93,51,7,0,False
2019-08-01,92,56,8,0,False
2019-09-01,87,51,7,0,False
2019-10-01,67,39,6,0,False
2019-11-01,85,49,6,0,False
2019-12-01,74,52,6,0,False
2020-01-01,61,33,6,0,False
2020-02-01,47,29,6,0,False
2020-03-01,68,40,6,0,False
2020-04-01,78,46,6,0,False
2020-05-01,75,42,7,0,False
2020-06-01,77,43,6,0,False
2020-07-01,83,57,7,0,False
2020-08-01,90,47,7,0,False
2020-09-01,87,47,7,0,False
2020-10-01,72,33,5,0,False
2020-11-01,76,42,5,0,False
2020-12-01,80,37,5,0,False
2021-01-01,77,37,5,0,False
2021-02-01,64,33,4,0,False
2021-03-01,82,46,6,0,False
2021-04-01,95,48,6,0,False
2021-05-01,75,44,6,0,False
2021-06-01,92,47,6,0,False
2021-07-01,100,58,6,0,False
2021-08-01,96,52,6,0,False
2021-09-01,96,56,7,0,False
2021-10-01,83,49,5,0,False
2021-11-01,99,57,6,0,False
2021-12-01,94,58,6,0,False
2022-01-01,86,51,6,0,False
2022-02-01,83,45,6,0,False
2022-03-01,98,51,7,0,False
2022-04-01,89,47,7,0,False
2022-05-01,86,41,6,0,False
2022-06-01,88,46,6,0,False
2022-07-01,93,47,6,0,False
2022-08-01,88,48,6,0,False
2022-09-01,84,46,6,0,False
2022-10-01,75,39,6,0,False
2022-11-01,83,42,6,0,False
2022-12-01,68,37,5,0,False
2023-01-01,65,32,5,0,False
2023-02-01,79,41,5,0,False
2023-03-01,82,40,5,0,False
2023-04-01,75,33,5,0,False
2023-05-01,69,38,4,0,False
2023-06-01,62,32,4,0,False
2023-07-01,66,33,4,0,False
2023-08-01,69,33,4,0,False
2023-09-01,54,28,4,0,True
